Frequencies, 20, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000, 10000, 12500, 16000, 20000
CR1_absorber, 0.027, 0.033, 0.022, 0.020, 0.013, 0.017, 0.018, 0.019, 0.035, 0.125, 0.163, 0.231, 0.288, 0.283, 0.255, 0.388, 0.444, 0.496, 0.498, 0.472, 0.463, 0.471, 0.434, 0.438, 0.436, 0.404, 0.394, 0.362, 0.358, 0.306, 0.263
CR1_absorber, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.095, 0.108, 0.121
CR1_concrete, 0.082, 0.098, 0.066, 0.061, 0.039, 0.051, 0.054, 0.057, 0.105, 0.099, 0.074, 0.074, 0.071, 0.057, 0.051, 0.044, 0.039, 0.037, 0.032, 0.033, 0.033, 0.034, 0.032, 0.033, 0.033, 0.031, 0.030, 0.028, 0.028, 0.024, 0.021
CR1_concrete, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.095, 0.108, 0.121
CR1_paintedConcrete, 0.006, 0.007, 0.005, 0.005, 0.006, 0.006, 0.007, 0.007, 0.009, 0.010, 0.009, 0.013, 0.015, 0.017, 0.019, 0.019, 0.017, 0.016, 0.015, 0.015, 0.015, 0.016, 0.016, 0.016, 0.015, 0.015, 0.013, 0.011, 0.018, 0.001, 0.001
CR1_paintedConcrete, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.067, 0.076, 0.085, 0.095, 0.107, 0.121, 0.135, 0.152, 0.171, 0.191, 0.213, 0.241, 0.270
CR1_tablesEquipment, 0.027, 0.033, 0.022, 0.020, 0.013, 0.017, 0.018, 0.019, 0.035, 0.122, 0.158, 0.221, 0.276, 0.272, 0.291, 0.292, 0.267, 0.255, 0.231, 0.240, 0.243, 0.255, 0.240, 0.248, 0.252, 0.238, 0.236, 0.220, 0.221, 0.191, 0.166
CR1_tablesEquipment, 0.066, 0.074, 0.083, 0.094, 0.105, 0.117, 0.132, 0.148, 0.165, 0.184, 0.209, 0.234, 0.262, 0.296, 0.331, 0.371, 0.418, 0.468, 0.523, 0.591, 0.661, 0.739, 0.830, 0.935, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990
CR2_ceiling, 0.108, 0.091, 0.068, 0.040, 0.021, 0.007, 0.032, 0.063, 0.083, 0.111, 0.107, 0.104, 0.070, 0.061, 0.048, 0.048, 0.050, 0.049, 0.045, 0.045, 0.047, 0.049, 0.074, 0.062, 0.056, 0.053, 0.050, 0.049, 0.060, 0.049, 0.016
CR2_ceiling, 0.050, 0.050, 0.050, 0.050, 0.050, 0.052, 0.059, 0.066, 0.074, 0.082, 0.094, 0.105, 0.117, 0.132, 0.148, 0.166, 0.187, 0.209, 0.234, 0.265, 0.296, 0.331, 0.371, 0.418, 0.468, 0.527, 0.591, 0.661, 0.739, 0.836, 0.935
CR2_concrete, 0.049, 0.051, 0.053, 0.065, 0.075, 0.077, 0.105, 0.099, 0.085, 0.091, 0.081, 0.075, 0.050, 0.050, 0.056, 0.057, 0.060, 0.059, 0.055, 0.056, 0.059, 0.061, 0.051, 0.044, 0.037, 0.035, 0.041, 0.045, 0.050, 0.037, 0.010
CR2_concrete, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.067, 0.076, 0.085, 0.095, 0.107, 0.121, 0.135, 0.152, 0.171, 0.191, 0.213, 0.241, 0.270
CR2_floor, 0.041, 0.056, 0.070, 0.082, 0.089, 0.086, 0.096, 0.084, 0.071, 0.082, 0.082, 0.091, 0.071, 0.072, 0.070, 0.067, 0.069, 0.065, 0.062, 0.062, 0.062, 0.063, 0.051, 0.043, 0.036, 0.035, 0.033, 0.032, 0.037, 0.029, 0.009
CR2_floor, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.052, 0.059, 0.066, 0.074, 0.083, 0.094, 0.105, 0.118, 0.132, 0.148, 0.165, 0.187, 0.209
CR2_plaster, 0.045, 0.059, 0.073, 0.082, 0.083, 0.075, 0.073, 0.051, 0.033, 0.034, 0.038, 0.050, 0.043, 0.040, 0.039, 0.043, 0.046, 0.044, 0.043, 0.044, 0.048, 0.051, 0.043, 0.036, 0.031, 0.031, 0.028, 0.045, 0.050, 0.036, 0.010
CR2_plaster, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.052, 0.059, 0.066, 0.074, 0.084, 0.094, 0.105, 0.117, 0.132, 0.148, 0.167, 0.187, 0.209, 0.234, 0.265, 0.296
CR2_windows, 0.317, 0.266, 0.263, 0.243, 0.247, 0.223, 0.294, 0.221, 0.175, 0.167, 0.134, 0.073, 0.052, 0.054, 0.049, 0.034, 0.048, 0.057, 0.076, 0.076, 0.133, 0.106, 0.058, 0.055, 0.061, 0.058, 0.053, 0.049, 0.054, 0.037, 0.010
CR2_windows, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.096, 0.108, 0.121, 0.135, 0.153, 0.171
CR3_ceiling, 0.043, 0.064, 0.067, 0.056, 0.079, 0.074, 0.072, 0.082, 0.084, 0.110, 0.057, 0.080, 0.096, 0.104, 0.114, 0.116, 0.108, 0.111, 0.105, 0.102, 0.107, 0.125, 0.182, 0.185, 0.157, 0.148, 0.144, 0.146, 0.149, 0.121, 0.095
CR3_ceiling, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.054, 0.060, 0.068, 0.076, 0.085, 0.096, 0.108, 0.121, 0.135, 0.153, 0.171, 0.191, 0.214, 0.241, 0.270, 0.304, 0.341, 0.382, 0.427, 0.483, 0.540
CR3_floor, 0.088, 0.119, 0.070, 0.120, 0.090, 0.130, 0.243, 0.087, 0.062, 0.048, 0.087, 0.077, 0.072, 0.067, 0.064, 0.066, 0.056, 0.054, 0.057, 0.045, 0.043, 0.048, 0.059, 0.061, 0.081, 0.079, 0.078, 0.084, 0.096, 0.094, 0.097
CR3_floor, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.051, 0.057, 0.064, 0.071, 0.080, 0.090, 0.101, 0.113, 0.127, 0.143, 0.160, 0.180, 0.202, 0.226, 0.253, 0.286, 0.319
CR3_plaster, 0.076, 0.085, 0.078, 0.097, 0.120, 0.105, 0.098, 0.110, 0.149, 0.081, 0.167, 0.131, 0.144, 0.126, 0.131, 0.121, 0.115, 0.107, 0.109, 0.095, 0.095, 0.104, 0.129, 0.139, 0.131, 0.124, 0.121, 0.124, 0.130, 0.110, 0.094
CR3_plaster, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.050, 0.052, 0.059, 0.066, 0.074, 0.084, 0.094, 0.105, 0.117, 0.132, 0.148, 0.167, 0.187, 0.209, 0.234, 0.265, 0.296
CR3_seating, 0.143, 0.130, 0.153, 0.102, 0.166, 0.190, 0.162, 0.192, 0.228, 0.206, 0.405, 0.344, 0.370, 0.376, 0.405, 0.366, 0.340, 0.347, 0.330, 0.465, 0.459, 0.320, 0.352, 0.318, 0.418, 0.412, 0.410, 0.437, 0.496, 0.482, 0.497
CR3_seating, 0.085, 0.095, 0.107, 0.121, 0.135, 0.151, 0.171, 0.191, 0.213, 0.238, 0.270, 0.302, 0.339, 0.382, 0.427, 0.479, 0.540, 0.604, 0.675, 0.764, 0.854, 0.955, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990, 0.990
CR3_stagePanels, 0.045, 0.058, 0.049, 0.047, 0.042, 0.050, 0.051, 0.044, 0.043, 0.045, 0.095, 0.080, 0.085, 0.079, 0.085, 0.084, 0.082, 0.078, 0.076, 0.072, 0.070, 0.081, 0.100, 0.108, 0.096, 0.097, 0.099, 0.103, 0.112, 0.100, 0.098
